A̱o,Trimestre,Banda ancha fija,Dial up,Total
2022,3,110786910,12437,110911280
2022,2,109462480,12436,109586840
2022,1,106113900,12619,106240090
2021,4,104769330,12861,104897940
2021,3,100751840,10357,100855410
2021,2,98527020,10382,98630840
2021,1,96379560,10016,96479720
2020,4,95615460,10016,95715620
2020,3,93461830,10016,93561990
2020,2,90210400,10016,90310560
2020,1,88024350,9991,88124260
2019,4,87830530,10128,87931810
2019,3,91428910,21793,91646840
2019,2,89384270,21754,89601810
2019,1,86263230,21812,86481350
2018,4,84518410,21814,84736550
2018,3,83202230,26812,83470350
2018,2,80835330,26911,81104440
2018,1,80099810,27072,80370530
2017,4,78427780,27444,78702220
2017,3,76965940,28349,77249430
2017,2,74011340,2853,74296640
2017,1,72773140,2854,73058540
2016,4,72231280,28545,72516730
2016,3,71783400,2861,72069500
2016,2,70976040,32475,71300790
2016,1,68747040,32652,69073560
2015,4,69522890,32542,69848310
2015,3,69022670,32801,69350680
2015,2,67832790,32909,68161880
2015,1,66997140,38018,67377320
2014,4,65591720,39324,65984960
2014,3,65592640,36007,65952710
2014,2,64283290,36139,64644680
2014,1,63621080,3629,63983980
